time_x,client_no,response_time,is_success,host,time_s,time_y,sat,distance
2024-07-05 13:04:17.654532,46419,0.0,False,685,60.923532,2024-07-05 13:04:15.840,1-685,5696.0
2024-07-05 13:04:17.657249,21d13,0.0,False,685,60.926249,2024-07-05 13:04:15.839,1-685,25515.0
2024-07-05 13:04:18.749872,46401,0.0,False,685,62.018872,2024-07-05 13:04:18.149,1-685,6755.0
2024-07-05 13:04:18.757234,46d16,0.0,False,685,62.026234,2024-07-05 13:04:18.150,1-685,4466.0
2024-07-05 13:04:18.803244,46416,0.0,False,685,62.072244,2024-07-05 13:04:18.155,1-685,4461.0
2024-07-05 13:04:18.850559,46414,0.0,False,685,62.119559,2024-07-05 13:04:18.156,1-685,2076.0
2024-07-05 13:04:18.852045,21418,0.0,False,685,62.121045,2024-07-05 13:04:18.150,1-685,23174.0
2024-07-05 13:04:18.971065,46408,0.0,False,685,62.240065,2024-07-05 13:04:18.151,1-685,5793.0
2024-07-05 13:04:19.049201,21419,0.0,False,685,62.318201,2024-07-05 13:04:18.150,1-685,15156.0
2024-07-05 13:04:19.079146,46405,0.0,False,685,62.348146,2024-07-05 13:04:18.242,1-685,9137.0
2024-07-05 13:04:19.102592,46d02,0.0,False,685,62.371592,2024-07-05 13:04:18.151,1-685,4019.0
2024-07-05 13:04:19.115105,46407,0.0,False,685,62.384105,2024-07-05 13:04:18.151,1-685,8800.0
2024-07-05 13:04:19.143276,46404,0.0,False,685,62.412276,2024-07-05 13:04:18.152,1-685,6941.0
2024-07-05 13:04:19.233509,46d04,0.0,False,685,62.502509,2024-07-05 13:04:18.242,1-685,6920.0
2024-07-05 13:04:19.242165,21413,0.0,False,685,62.511165,2024-07-05 13:04:18.152,1-685,25513.0
2024-07-05 13:04:19.251832,46452,0.0,False,685,62.520832,2024-07-05 13:04:18.153,1-685,8511.0
2024-07-05 13:04:19.311693,21414,0.0,False,685,62.580693,2024-07-05 13:04:18.146,1-685,9064.0
2024-07-05 13:04:19.346486,46403,0.0,False,685,62.615486,2024-07-05 13:04:18.153,1-685,2321.0
2024-07-05 13:04:19.357544,21415,0.0,False,685,62.626544,2024-07-05 13:04:18.154,1-685,10009.0
2024-07-05 13:04:19.393107,46410,0.0,False,685,62.662107,2024-07-05 13:04:18.154,1-685,3244.0
2024-07-05 13:04:19.395803,46490,0.0,False,685,62.664803,2024-07-05 13:04:18.242,1-685,17393.0
2024-07-05 13:04:19.430507,46411,0.0,False,685,62.699507,2024-07-05 13:04:18.147,1-685,9813.0
2024-07-05 13:04:19.464866,46402,0.0,False,685,62.733866,2024-07-05 13:04:18.147,1-685,4010.0
2024-07-05 13:04:19.482214,46451,0.0,False,685,62.751214,2024-07-05 13:04:18.154,1-685,8514.0
2024-07-05 13:04:19.489179,46415,0.0,False,685,62.758179,2024-07-05 13:04:18.147,1-685,3234.0
2024-07-05 13:04:19.533661,46412,0.0,False,685,62.802661,2024-07-05 13:04:18.155,1-685,17433.0
2024-07-05 13:04:19.550416,21416,0.0,False,685,62.819416,2024-07-05 13:04:18.148,1-685,12564.0
2024-07-05 13:04:19.602020,46413,0.0,False,685,62.87102,2024-07-05 13:04:18.148,1-685,6615.0
2024-07-05 13:04:19.606816,21417,0.0,False,685,62.875816,2024-07-05 13:04:18.155,1-685,15423.0
