time,gst,sat,delay,time_ms
2024-07-03 13:21:03.854,redmond,1-1,3195.0,459151.0
2024-07-03 13:21:03.883,redmond,1-1,3195.0,459180.0
2024-07-03 13:21:03.912,redmond,1-1,3195.0,459209.0
2024-07-03 13:21:03.940,redmond,1-1,3195.0,459237.0
2024-07-03 13:21:03.969,redmond,1-1,3195.0,459266.0
2024-07-03 13:21:03.999,redmond,1-1,3195.0,459296.0
2024-07-03 13:21:04.027,redmond,1-1,3195.0,459324.0
2024-07-03 13:21:04.056,redmond,1-1,3195.0,459353.0
2024-07-03 13:21:04.084,redmond,1-1,3195.0,459381.0
2024-07-03 13:21:04.114,redmond,1-1,3195.0,459411.0
2024-07-03 13:21:04.142,redmond,1-1,3195.0,459439.0
2024-07-03 13:21:04.171,redmond,1-1,3195.0,459468.0
2024-07-03 13:21:04.200,redmond,1-1,3195.0,459497.0
2024-07-03 13:21:04.229,redmond,1-1,3195.0,459526.0
2024-07-03 13:21:04.257,redmond,1-1,3195.0,459554.0
2024-07-03 13:21:04.286,redmond,1-1,3195.0,459583.0
2024-07-03 13:21:04.315,redmond,1-1,3195.0,459612.0
2024-07-03 13:21:04.343,redmond,1-1,3195.0,459640.0
2024-07-03 13:21:04.374,redmond,1-1,3195.0,459671.0
2024-07-03 13:21:04.407,redmond,1-1,3195.0,459704.0
2024-07-03 13:21:04.441,redmond,1-1,3195.0,459738.0
2024-07-03 13:21:04.471,redmond,1-1,3195.0,459768.0
2024-07-03 13:21:04.504,redmond,1-1,3195.0,459801.0
2024-07-03 13:21:04.542,redmond,1-1,3195.0,459839.0
2024-07-03 13:21:04.571,redmond,1-1,3195.0,459868.0
2024-07-03 13:21:04.600,redmond,1-1,3195.0,459897.0
2024-07-03 13:21:04.629,redmond,1-1,3195.0,459926.0
2024-07-03 13:21:04.659,redmond,1-1,3195.0,459956.0
2024-07-03 13:21:04.688,redmond,1-1,3195.0,459985.0
2024-07-03 13:21:04.716,redmond,1-1,3195.0,460013.0
2024-07-03 13:21:04.745,redmond,1-1,3195.0,460042.0
2024-07-03 13:21:04.773,redmond,1-1,3195.0,460070.0
2024-07-03 13:21:04.802,redmond,1-1,3195.0,460099.0
2024-07-03 13:21:04.831,redmond,1-1,3195.0,460128.0
2024-07-03 13:21:04.860,redmond,1-1,3195.0,460157.0
2024-07-03 13:21:04.888,redmond,1-1,3195.0,460185.0
2024-07-03 13:21:04.917,redmond,1-1,3195.0,460214.0
2024-07-03 13:21:04.946,redmond,1-1,3195.0,460243.0
2024-07-03 13:21:04.975,redmond,1-1,3195.0,460272.0
2024-07-03 13:21:05.004,redmond,1-1,3195.0,460301.0
2024-07-03 13:21:05.034,redmond,1-1,3195.0,460331.0
2024-07-03 13:21:05.063,redmond,1-1,3195.0,460360.0
2024-07-03 13:21:05.092,redmond,1-1,3195.0,460389.0
2024-07-03 13:21:05.122,redmond,1-1,3195.0,460419.0
2024-07-03 13:21:05.154,redmond,1-1,3195.0,460451.0
2024-07-03 13:21:05.183,redmond,1-1,3195.0,460480.0
2024-07-03 13:21:05.212,redmond,1-1,3195.0,460509.0
2024-07-03 13:21:05.241,redmond,1-1,3195.0,460538.0
2024-07-03 13:21:05.270,redmond,1-1,3195.0,460567.0
2024-07-03 13:21:05.299,redmond,1-1,3195.0,460596.0
2024-07-03 13:21:05.327,redmond,1-1,3195.0,460624.0
2024-07-03 13:21:05.357,redmond,1-1,3195.0,460654.0
2024-07-03 13:21:05.387,redmond,1-1,3195.0,460684.0
2024-07-03 13:21:05.417,redmond,1-1,3195.0,460714.0
2024-07-03 13:21:05.447,redmond,1-1,3195.0,460744.0
