time,op,req_t,host,time_ms
2024-07-03 13:25:17.564882,get,0.032545,0.1.celestial:8000,712861.882
2024-07-03 13:25:18.518899,put,0.019661,0.1.celestial:8000,713815.899
2024-07-03 13:25:18.552476,get,0.032274,0.1.celestial:8000,713849.476
2024-07-03 13:25:19.533293,put,0.033415,0.1.celestial:8000,714830.293
2024-07-03 13:25:19.566901,get,0.032343,0.1.celestial:8000,714863.901
2024-07-03 13:25:20.531123,put,0.031093,0.1.celestial:8000,715828.123
2024-07-03 13:25:20.566412,get,0.034193,0.1.celestial:8000,715863.412
2024-07-03 13:25:21.532814,put,0.032058,0.1.celestial:8000,716829.814
2024-07-03 13:25:21.569828,get,0.03532,0.1.celestial:8000,716866.828
2024-07-03 13:25:22.533366,put,0.032255,0.1.celestial:8000,717830.366
2024-07-03 13:25:22.565691,get,0.03123,0.1.celestial:8000,717862.691
2024-07-03 13:25:23.534700,put,0.033508,0.1.celestial:8000,718831.7
2024-07-03 13:25:23.570666,get,0.034746,0.1.celestial:8000,718867.666
2024-07-03 13:25:24.522601,put,0.020936,0.1.celestial:8000,719819.601
2024-07-03 13:25:24.551435,get,0.027661,0.1.celestial:8000,719848.435
2024-07-03 13:25:25.524107,put,0.02152,0.1.celestial:8000,720821.107
2024-07-03 13:25:25.549168,get,0.023866,0.1.celestial:8000,720846.168
2024-07-03 13:25:26.536664,put,0.033069,0.1.celestial:8000,721833.664
2024-07-03 13:25:26.559846,get,0.021321,0.1.celestial:8000,721856.846
2024-07-03 13:25:27.528431,put,0.02431,0.1.celestial:8000,722825.431
2024-07-03 13:25:27.551845,get,0.022321,0.1.celestial:8000,722848.845
2024-07-03 13:25:28.526866,put,0.021646,0.1.celestial:8000,723823.866
2024-07-03 13:25:28.555064,get,0.027118,0.1.celestial:8000,723852.064
2024-07-03 13:25:29.537483,put,0.032056,0.1.celestial:8000,724834.483
2024-07-03 13:25:29.560319,get,0.021707,0.1.celestial:8000,724857.319
2024-07-03 13:25:30.538727,put,0.033127,0.1.celestial:8000,725835.727
2024-07-03 13:25:30.571458,get,0.031643,0.1.celestial:8000,725868.458
2024-07-03 13:25:31.567773,put,0.062034,0.1.celestial:8000,726864.773
2024-07-03 13:25:31.636620,get,0.067754,0.1.celestial:8000,726933.62
2024-07-03 13:25:32.566088,put,0.060215,0.1.celestial:8000,727863.088
2024-07-03 13:25:32.629664,get,0.062454,0.1.celestial:8000,727926.664
2024-07-03 13:25:33.568303,put,0.061248,0.1.celestial:8000,728865.303
2024-07-03 13:25:33.617973,get,0.048584,0.1.celestial:8000,728914.973
2024-07-03 13:25:34.556206,put,0.048885,0.1.celestial:8000,729853.206
2024-07-03 13:25:34.606559,get,0.049079,0.1.celestial:8000,729903.559
2024-07-03 13:25:35.566855,put,0.058795,0.1.celestial:8000,730863.855
2024-07-03 13:25:35.626139,get,0.058128,0.1.celestial:8000,730923.139
2024-07-03 13:25:36.556214,put,0.047851,0.1.celestial:8000,731853.214
2024-07-03 13:25:36.605318,get,0.047999,0.1.celestial:8000,731902.318
2024-07-03 13:25:37.562991,put,0.054265,0.1.celestial:8000,732859.991
2024-07-03 13:25:37.613837,get,0.049559,0.1.celestial:8000,732910.837
2024-07-03 13:25:38.561319,put,0.052172,0.1.celestial:8000,733858.319
2024-07-03 13:25:38.620345,get,0.057871,0.1.celestial:8000,733917.345
2024-07-03 13:25:39.571126,put,0.061561,0.1.celestial:8000,734868.126
2024-07-03 13:25:39.628109,get,0.055846,0.1.celestial:8000,734925.109
2024-07-03 13:25:40.560709,put,0.050234,0.1.celestial:8000,735857.709
2024-07-03 13:25:40.609424,get,0.047588,0.1.celestial:8000,735906.424
2024-07-03 13:25:41.559640,put,0.048587,0.1.celestial:8000,736856.64
2024-07-03 13:25:41.609650,get,0.048937,0.1.celestial:8000,736906.65
2024-07-03 13:25:42.569808,put,0.057881,0.1.celestial:8000,737866.808
2024-07-03 13:25:42.619003,get,0.048074,0.1.celestial:8000,737916.003
2024-07-03 13:25:43.559899,put,0.047525,0.1.celestial:8000,738856.899
2024-07-03 13:25:43.618143,get,0.057164,0.1.celestial:8000,738915.143
2024-07-03 13:25:44.561388,put,0.04799,0.1.celestial:8000,739858.388
2024-07-03 13:25:44.620436,get,0.05793,0.1.celestial:8000,739917.436
2024-07-03 13:25:45.573379,put,0.059711,0.1.celestial:8000,740870.379
2024-07-03 13:25:45.633978,get,0.059305,0.1.celestial:8000,740930.978
2024-07-03 13:25:46.572421,put,0.057945,0.1.celestial:8000,741869.421
2024-07-03 13:25:46.621003,get,0.047496,0.1.celestial:8000,741918.003
2024-07-03 13:25:47.561054,put,0.046232,0.1.celestial:8000,742858.054
2024-07-03 13:25:47.609706,get,0.047544,0.1.celestial:8000,742906.706
2024-07-03 13:25:48.562250,put,0.0472,0.1.celestial:8000,743859.25
2024-07-03 13:25:48.612824,get,0.049442,0.1.celestial:8000,743909.824
2024-07-03 13:25:49.561950,put,0.046845,0.1.celestial:8000,744858.95
2024-07-03 13:25:49.610709,get,0.047614,0.1.celestial:8000,744907.709
2024-07-03 13:25:50.566189,put,0.050251,0.1.celestial:8000,745863.189
2024-07-03 13:25:50.619061,get,0.051728,0.1.celestial:8000,745916.061
2024-07-03 13:25:51.565830,put,0.049307,0.1.celestial:8000,746862.83
2024-07-03 13:25:51.619805,get,0.052818,0.1.celestial:8000,746916.805
2024-07-03 13:25:52.600644,put,0.083801,21.1.celestial:8000,747897.644
2024-07-03 13:25:52.633197,get,0.03139,21.1.celestial:8000,747930.197
2024-07-03 13:25:53.559569,put,0.042102,21.1.celestial:8000,748856.569
2024-07-03 13:25:53.599468,get,0.038737,21.1.celestial:8000,748896.468
2024-07-03 13:25:54.555091,put,0.037427,21.1.celestial:8000,749852.091
2024-07-03 13:25:54.601555,get,0.045343,21.1.celestial:8000,749898.555
2024-07-03 13:25:55.559915,put,0.04202,21.1.celestial:8000,750856.915
2024-07-03 13:25:55.600933,get,0.039918,21.1.celestial:8000,750897.933
2024-07-03 13:25:56.553076,put,0.035014,21.1.celestial:8000,751850.076
2024-07-03 13:25:56.590831,get,0.036178,21.1.celestial:8000,751887.831
2024-07-03 13:25:57.564944,put,0.046757,21.1.celestial:8000,752861.944
2024-07-03 13:25:57.590026,get,0.023513,21.1.celestial:8000,752887.026
2024-07-03 13:25:58.558214,put,0.039928,21.1.celestial:8000,753855.214
2024-07-03 13:25:58.601577,get,0.042272,21.1.celestial:8000,753898.577
2024-07-03 13:25:59.568076,put,0.04898,21.1.celestial:8000,754865.076
2024-07-03 13:25:59.620229,get,0.050931,21.1.celestial:8000,754917.229
2024-07-03 13:26:00.539897,put,0.020455,21.1.celestial:8000,755836.897
2024-07-03 13:26:00.572320,get,0.031187,21.1.celestial:8000,755869.32
2024-07-03 13:26:01.562843,put,0.043281,21.1.celestial:8000,756859.843
2024-07-03 13:26:01.617612,get,0.053622,21.1.celestial:8000,756914.612
2024-07-03 13:26:02.540350,put,0.020443,21.1.celestial:8000,757837.35
2024-07-03 13:26:02.570996,get,0.02957,21.1.celestial:8000,757867.996
2024-07-03 13:26:03.551182,put,0.030954,21.1.celestial:8000,758848.182
2024-07-03 13:26:03.574272,get,0.021854,21.1.celestial:8000,758871.272
2024-07-03 13:26:04.553092,put,0.032566,21.1.celestial:8000,759850.092
2024-07-03 13:26:04.584441,get,0.030282,21.1.celestial:8000,759881.441
2024-07-03 13:26:05.541447,put,0.020517,21.1.celestial:8000,760838.447
2024-07-03 13:26:05.573801,get,0.031276,21.1.celestial:8000,760870.801
2024-07-03 13:26:06.569367,put,0.048026,21.1.celestial:8000,761866.367
2024-07-03 13:26:06.596377,get,0.025881,21.1.celestial:8000,761893.377
2024-07-03 13:26:07.554786,put,0.033197,21.1.celestial:8000,762851.786
