t,ground_station,satellite,distance
1062,client-yakima,69,2199
1062,client-centralia,69,2206
1062,client-cascade,69,2735
1062,client-salmon,69,2726
1062,client-burns,69,2730
1062,client-bend,69,2720
1062,client-kalispell,69,2204
1062,client-charlo,69,2215
1062,client-pullman,69,2206
1062,client-seneca,69,2730
1062,client-brownsville,69,2744
1062,client-yachats,69,2715
1062,client-tillamook,69,2724
1062,client-maupin,69,2214
1062,client-boardman,69,2198
1062,client-kennewick,69,2198
1062,client-aberdeen,69,2196
1062,client-pollock,69,2722
1062,client-packwood,69,2227
1062,client-clarkia,69,2205
1062,client-malden,69,2212
1062,client-ritzville,69,2191
1062,client-odessa,69,2213
1062,client-quincy,69,2237
1062,client-roslyn,69,2214
1062,client-snoqualmie,69,2218
1062,client-baringoo,69,2201
1062,client-kalaloch,69,2192
1062,client-corvallis,69,2728
1062,client-molalla,69,2732
1062,client-campsherman,69,2714
1062,client-prineville,69,2726
1062,client-lagrande,69,2719
1062,client-mccall,69,2716
1062,client-cobalt,69,2723
1062,client-may,1326,2729
1062,client-darby,69,2728
1062,client-bannack,1326,2725
1062,client-wisdom,69,2719
1063,client-shaniko,69,2220
1063,client-baker,69,2730
1063,client-prescott,69,2210
1063,client-twinfalls,1326,2708
1063,client-greatfalls,69,2716
1063,client-pocatello,1326,2728
1063,client-bozeman,69,3229
1063,client-everett,69,2196
1063,client-medford,1326,2211
1063,client-spokane,69,2220
1063,client-kimberly,69,2718
1063,client-yakima,69,2199
1063,client-centralia,69,2206
1063,client-cascade,69,2735
1063,client-salmon,69,2726
1063,client-burns,69,2730
1063,client-bend,69,2720
1063,client-kalispell,69,2204
1063,client-charlo,69,2215
1063,client-pullman,69,2206
1063,client-seneca,69,2730
1063,client-brownsville,69,2744
1063,client-yachats,69,2715
1063,client-tillamook,69,2724
1063,client-maupin,69,2214
1063,client-boardman,69,2198
1063,client-kennewick,69,2198
1063,client-aberdeen,69,2196
1063,client-pollock,69,2722
1063,client-packwood,69,2227
1063,client-clarkia,69,2205
1063,client-malden,69,2212
1063,client-ritzville,69,2191
1063,client-odessa,69,2213
1063,client-quincy,69,2237
1063,client-roslyn,69,2214
1063,client-snoqualmie,69,2218
1063,client-baringoo,69,2201
1063,client-kalaloch,69,2192
1063,client-corvallis,69,2728
1063,client-molalla,69,2732
1063,client-campsherman,69,2714
1063,client-prineville,69,2726
1063,client-lagrande,69,2719
1063,client-mccall,69,2716
1063,client-cobalt,69,2723
1063,client-may,1326,2729
1063,client-darby,69,2728
1063,client-bannack,1326,2725
1063,client-wisdom,69,2719
1064,client-shaniko,69,2220
1064,client-baker,69,2730
1064,client-prescott,69,2210
1064,client-twinfalls,1326,2708
1064,client-greatfalls,69,2716
1064,client-pocatello,1326,2728
1064,client-bozeman,69,3229
1064,client-everett,69,2196
1064,client-medford,1326,2211
1064,client-spokane,69,2220
1064,client-kimberly,69,2718
1064,client-yakima,69,2199
1064,client-centralia,69,2206
1064,client-cascade,69,2735
1064,client-salmon,69,2726
1064,client-burns,69,2730
1064,client-bend,69,2720
1064,client-kalispell,69,2204
1064,client-charlo,69,2215
1064,client-pullman,69,2206
1064,client-seneca,69,2730
1064,client-brownsville,69,2744
1064,client-yachats,1326,2214
1064,client-tillamook,69,2724
1064,client-maupin,69,2214
1064,client-boardman,69,2198
1064,client-kennewick,69,2198
1064,client-aberdeen,69,2196
1064,client-pollock,69,2722
1064,client-packwood,69,2227
1064,client-clarkia,69,2205
1064,client-malden,69,2212
1064,client-ritzville,69,2191
1064,client-odessa,69,2213
1064,client-quincy,69,2237
1064,client-roslyn,69,2214
1064,client-snoqualmie,69,2218
1064,client-baringoo,69,2201
1064,client-kalaloch,69,2192
1064,client-corvallis,69,2728
1064,client-molalla,69,2732
1064,client-campsherman,69,2714
1064,client-prineville,69,2726
1064,client-lagrande,69,2719
